Material,Temp.,Origin,RN,Name,Identifier_1,Identifier_2,Identifier_3,Gam
230Th Thorium 230,87K,ENDF/B-VIIIR0,Y,230-TH,90,230,87,Y
232Th Thorium 232,296K,ENDF/B-VIIIR0,Y,232-TH,90,232,296,Y
232Th Thorium 232,87K,ENDF/B-VIIIR0,Y,232-TH,90,232,87,Y
232Th Thorium 232 SelfShielded,296K,ENDF/B-VIIIR0,Y,232-TH,90,1232,296,Y
233U Uranium 233,296K,ENDF/B-VIIIR0,Y,233-U,92,233,296,Y
233U Uranium 233,87K,ENDF/B-VIIIR0,Y,233-U,92,233,87,Y
234U Uranium 234,296K,ENDF/B-VIIIR0,Y,234-U,92,234,296,Y
234U Uranium 234,87K,ENDF/B-VIIIR0,Y,234-U,92,234,87,Y
235U Uranium 235,296K,ENDF/B-VIIIR0,Y,235-U,92,235,296,Y
235U Uranium 235,87K,ENDF/B-VIIIR0,Y,235-U,92,235,87,Y
238U Uranium 238,296K,ENDF/B-VIIIR0,Y,238-U,92,238,296,Y
238U Uranium 238,87K,ENDF/B-VIIIR0,Y,238-U,92,238,87,Y
239Pu Plutonium 239,296K,ENDF/B-VIIIR0,Y,239-PU,94,239,296,Y
239Pu Plutonium 239,87K,ENDF/B-VIIIR0,Y,239-PU,94,239,87,Y
239Pu Plutonium 239 SelfShielded,296K,ENDF/B-VIIIR0,Y,239-PU,94,1239,296,Y
241Am Americium 241,296K,ENDF/B-VIIR0,Y,241-AM,95,241,296,Y
241Am Americium 241,87K,ENDF/B-VIIR0,Y,241-AM,95,241,87,Y
243Am Americium 243,296K,ENDF/B-VIIR0,Y,243-AM,95,243,296,Y
243Am Americium 243,87K,ENDF/B-VIIR0,Y,243-AM,95,243,87,Y
